lat,lon,elevation_m,slope_deg,rain_3day_mm,soil_moisture,ndvi,dist_to_old_landslide_m,dist_to_road_m,risk_label
26.769634990253888,93.37725307432687,1673,7,196,0.891,0.421,5425,2139,1
23.66847896726173,95.05563500818337,1671,16,253,0.473,0.261,5431,2127,1
23.935539751724264,88.00258544669161,1973,37,264,0.694,0.592,5571,152,2
26.01648099125819,92.65968430890365,2160,15,44,0.947,0.724,2942,1623,0
24.588571489489453,96.6695889855894,2887,50,35,0.881,0.54,5998,2295,1
24.066645034031634,91.66421163496481,519,22,115,0.615,0.256,3359,2359,1
27.756678277458402,95.31832614645737,1555,11,286,0.162,0.335,1008,2107,1
27.044839710280034,96.65114852771453,1496,41,128,0.69,0.873,4663,1985,1
22.905325563967523,93.7029561780237,1556,34,235,0.862,0.79,3998,481,2
22.55833915028655,95.48959340430906,2694,19,117,0.78,0.43,2942,2120,1
28.088377439013975,92.28899908680361,2771,20,147,0.179,0.639,2851,316,0
26.92267348764836,90.11375234737145,2543,27,111,0.86,0.315,5646,783,1
27.17363088309866,89.07890643389294,1138,20,135,0.276,0.262,2095,1463,1
24.727179212302005,90.83875215374725,2475,10,252,0.622,0.711,4485,178,1
23.83255669847888,93.18998667712668,2129,41,140,0.517,0.888,4237,1152,1
24.583733769970397,95.74360117448157,2558,8,269,0.779,0.483,4479,138,1
22.570919871662692,89.89677147131303,534,16,234,0.93,0.659,3818,1297,2
24.0770942078742,90.42467406572482,2746,42,51,0.377,0.59,2177,771,1
24.690467917367492,91.60533337680002,2024,44,175,0.411,0.499,1774,1721,2
26.824892756489625,95.23678822906498,909,33,92,0.586,0.883,5669,941,1
23.559643659957676,92.49638043500666,539,40,221,0.828,0.257,1275,1942,2
25.872830712430268,93.11051067284781,1527,45,264,0.554,0.353,4036,1233,2
25.19912891438275,91.01190884663106,894,30,50,0.687,0.148,2133,1956,0
24.970565428789147,91.15981440846858,581,28,184,0.576,0.845,2161,1414,1
24.63065423034535,94.05873556132615,1665,48,101,0.59,0.62,4460,719,1
27.709545902948477,93.76522587440502,1093,36,228,0.856,0.405,2397,1904,2
24.56175292558452,90.82133857050466,1163,26,215,0.637,0.557,634,329,2
27.185844221538595,96.44892851463321,2322,46,149,0.704,0.584,3289,1116,2
26.866634498594426,93.95820293027776,1012,42,266,0.921,0.431,1556,99,2
25.790602462909764,88.23728422029617,2438,49,40,0.279,0.418,832,266,1
26.4289960532601,95.96924185386759,845,30,268,0.75,0.167,2200,641,2
25.66045402758648,89.53547185850994,1037,24,117,0.31,0.327,5182,522,0
28.109145429987358,92.93690747025315,2714,7,182,0.831,0.36,3950,1918,1
25.640758826127044,93.75575423839732,2281,13,276,0.25,0.578,5219,2315,1
24.694699931690266,90.33826339543953,1761,24,177,0.509,0.282,783,1814,1
25.315187731464157,88.07485399536736,1674,24,5,0.1,0.752,1166,1413,0
27.280604303205816,92.93390976162847,1447,36,244,0.355,0.713,2449,2450,2
27.470561133847745,89.98533183609563,2096,17,210,0.85,0.45,2097,673,1
26.390742245745372,92.78749839424549,1666,10,216,0.632,0.513,5073,1118,1
26.32135625729008,93.55956472512264,952,22,211,0.26,0.155,1169,1191,1
23.615625588849156,88.92046139790885,590,22,251,0.26,0.116,456,2196,2
22.588349081288854,89.95469276664566,1117,22,64,0.708,0.682,1957,374,0
24.481491882214982,95.59191669341271,629,31,159,0.768,0.499,3092,1904,1
23.653153757558716,95.57385359146234,1243,14,28,0.327,0.414,4499,1930,0
23.982973146630183,96.95081868247384,2314,29,6,0.204,0.715,2089,1581,0
24.83473776346932,96.6509250686242,2436,17,235,0.725,0.175,5505,858,2
24.019876442010535,93.74668010837821,1000,25,81,0.635,0.134,4552,2138,0
