landslide_id,latitude,longitude,state,district,landslide_type,trigger,date,volume_m3x1000,casualties
LS2020,25.167445514230174,90.97424179949157,Meghalaya,East Khasi Hills,Debris Slide,Earthquake,2018-12-23,312,7
LS2021,27.662220601954978,88.50512055664475,Sikkim,East Sikkim,Debris Slide,Rainfall,2024-02-11,224,4
LS2022,27.356582740066962,88.05848883710254,Tripura,Dhalai,Debris Flow,Rainfall,2022-09-28,184,5
LS2023,28.243278433240686,91.02935090601365,Arunachal Pradesh,West Kameng,Rock Slide,Road Cutting,2019-02-01,193,14
LS2024,24.08712520333208,88.39105398630788,Manipur,Chandel,Rock Fall,Earthquake,2019-05-27,482,7
LS2025,26.034048280372932,91.7814986469365,Meghalaya,Ri-Bhoi,Debris Slide,Rainfall,2018-07-07,348,4
LS2026,27.63190632609088,95.79835300079742,Nagaland,Kohima,Rock Fall,Anthropogenic,2023-02-01,335,14
LS2027,24.721085802701296,89.88556327694339,Manipur,Imphal West,Mudslide,Rainfall,2018-10-20,321,11
LS2028,23.48041496257157,91.41509897581884,Arunachal Pradesh,West Kameng,Debris Slide,Rainfall,2024-03-31,122,11
LS2029,23.874288431784628,88.28890219513634,Manipur,Imphal West,Mudslide,Road Cutting,2021-01-01,43,4
LS2030,26.43263199176928,91.56068710954598,Manipur,Imphal West,Debris Slide,Road Cutting,2019-08-09,145,3
LS2031,26.982082869913548,91.85590444565122,Assam,Cachar,Earth Slide,Road Cutting,2022-01-22,122,3
LS2032,27.034692945202426,95.749926187,Tripura,West Tripura,Debris Flow,Rainfall,2019-10-18,415,11
LS2033,24.808603870047,93.36299585525015,Mizoram,Aizawl,Rock Fall,Earthquake,2020-10-26,293,14
LS2034,27.293507708947796,88.57686561872183,Sikkim,East Sikkim,Rock Slide,Anthropogenic,2022-11-16,90,8
LS2035,27.558449842064757,88.09576974051794,Sikkim,North Sikkim,Debris Slide,Anthropogenic,2023-09-11,321,4
LS2036,27.075064800450907,92.85441127107663,Arunachal Pradesh,Papum Pare,Earth Slide,Rainfall,2024-09-19,175,8
LS2037,27.9148320822973,88.27676271286239,Sikkim,East Sikkim,Rock Slide,Heavy Rainfall,2024-05-12,494,2
LS2038,25.63924740343542,91.01379286958475,Meghalaya,Jaintia Hills,Debris Slide,Road Cutting,2024-03-01,94,5
LS2039,28.07348095801306,94.79738676972225,Mizoram,Aizawl,Debris Slide,Heavy Rainfall,2021-06-30,214,11
LS2040,27.897684507857672,92.06337527252016,Manipur,Ukhrul,Debris Flow,Heavy Rainfall,2018-09-20,183,1
LS2041,22.543145033910562,94.37056851893608,Assam,Dibrugarh,Rock Slide,Heavy Rainfall,2018-10-04,473,1
LS2042,25.584936718851534,90.50629537568092,Manipur,Imphal West,Rock Fall,Heavy Rainfall,2024-01-18,77,12
LS2043,27.20771654574452,95.2674729798998,Tripura,West Tripura,Debris Flow,Rainfall,2019-02-02,347,7
LS2044,24.966613656298428,95.77453073532644,Manipur,Ukhrul,Rock Slide,Rainfall,2019-02-08,41,7
LS2045,23.991938003521714,89.71188017596731,Manipur,Imphal West,Rock Fall,Heavy Rainfall,2022-09-25,103,5
LS2046,27.74691572442348,88.6784639953686,Tripura,West Tripura,Earth Slide,Rainfall,2018-07-27,343,9
LS2047,27.182942221664305,88.43707701290565,Sikkim,East Sikkim,Debris Flow,Road Cutting,2018-08-29,94,7
LS2048,27.500509204073058,88.38070673739115,Sikkim,South Sikkim,Debris Slide,Earthquake,2023-06-17,89,4
LS2049,28.312256189814953,93.21262261734631,Nagaland,Kohima,Earth Slide,Rainfall,2021-07-08,39,1
LS2050,22.841277478372106,92.57045647294076,Tripura,West Tripura,Debris Flow,Rainfall,2024-09-03,44,11
LS2051,23.219319683682745,96.01258582716494,Assam,Karbi Anglong,Debris Flow,Earthquake,2024-09-01,30,10
LS2052,25.379643815172074,91.24330168252618,Meghalaya,Jaintia Hills,Debris Slide,Rainfall,2021-07-10,132,5
LS2053,26.53014133775983,90.69997371818886,Mizoram,Aizawl,Mudslide,Rainfall,2018-02-08,244,10
LS2054,25.158947884439762,91.39331501943967,Meghalaya,East Khasi Hills,Rock Slide,Heavy Rainfall,2022-02-22,155,3
LS2055,26.170066594355703,96.88509757268353,Tripura,Dhalai,Debris Slide,Earthquake,2018-02-02,351,14
LS2056,23.121519011509267,95.90314268476233,Nagaland,Mokokchung,Mudslide,Rainfall,2019-03-15,390,9
LS2057,24.190537628747364,89.89566689326249,Arunachal Pradesh,Papum Pare,Mudslide,Heavy Rainfall,2020-12-17,268,8
LS2058,23.0537908062764,91.81218195307353,Nagaland,Kohima,Mudslide,Rainfall,2018-01-15,180,13
LS2059,23.469491857643316,91.97651960674766,Arunachal Pradesh,Papum Pare,Debris Slide,Road Cutting,2024-04-16,14,2
LS2060,25.699011479787753,91.05175943546472,Meghalaya,West Khasi Hills,Debris Flow,Rainfall,2021-06-16,196,15
LS2061,27.113072983838965,88.7021046176843,Sikkim,North Sikkim,Rock Fall,Earthquake,2019-09-26,483,15
LS2062,28.357236197585777,95.29694547946357,Assam,Dibrugarh,Rock Fall,Rainfall,2020-01-05,387,15
LS2063,27.313410833622832,95.77657625537752,Manipur,Ukhrul,Debris Flow,Anthropogenic,2019-10-15,413,12
LS2064,25.2669204610548,92.18819722951478,Meghalaya,Jaintia Hills,Rock Fall,Anthropogenic,2021-06-04,430,13
LS2065,22.641986608208708,89.73816809494937,Assam,Dibrugarh,Mudslide,Anthropogenic,2018-10-12,405,5
LS2066,25.556434053168225,94.11566306524237,Manipur,Chandel,Earth Slide,Anthropogenic,2018-04-24,69,15
LS2067,25.983538402432245,96.85195515594779,Nagaland,Kohima,Rock Slide,Rainfall,2024-09-09,232,6
LS2068,26.13725311983686,92.6028075370253,Manipur,Ukhrul,Rock Fall,Earthquake,2020-02-18,140,1
LS2069,25.619522091399514,95.25859782730093,Mizoram,Aizawl,Debris Slide,Rainfall,2020-03-18,196,7
LS2070,25.14955037879724,92.33007961966506,Meghalaya,Ri-Bhoi,Earth Slide,Anthropogenic,2022-07-31,177,7
LS2071,23.26372679435492,91.78401700395618,Nagaland,Mokokchung,Rock Fall,Rainfall,2019-12-14,325,10
LS2072,25.787623278814188,88.00365345727559,Nagaland,Dimapur,Mudslide,Heavy Rainfall,2022-10-27,412,10
LS2073,25.15071610102772,94.0806450987109,Manipur,Ukhrul,Earth Slide,Road Cutting,2019-11-27,347,2
LS2074,26.483123017829993,93.57334724826138,Nagaland,Mokokchung,Rock Slide,Heavy Rainfall,2021-06-25,125,13
LS2075,22.646552326360958,90.20358289670516,Assam,Dibrugarh,Rock Fall,Earthquake,2018-10-26,243,7
LS2076,25.466263014062623,90.19585995620595,Assam,Karbi Anglong,Debris Slide,Rainfall,2018-01-23,467,13
LS2077,25.835094131689885,91.58973480377622,Meghalaya,Jaintia Hills,Earth Slide,Heavy Rainfall,2019-05-13,243,3
LS2078,28.200237650658934,96.02283333229393,Tripura,Dhalai,Earth Slide,Rainfall,2023-08-30,228,14
LS2079,26.961932652957508,92.27206993140749,Tripura,West Tripura,Mudslide,Heavy Rainfall,2021-02-09,402,13
LS2080,24.14758468150523,88.69735018478262,Tripura,West Tripura,Mudslide,Heavy Rainfall,2021-01-17,181,6
LS2081,25.183366319892578,91.16371989108018,Meghalaya,West Khasi Hills,Rock Fall,Road Cutting,2021-09-17,287,8
LS2082,23.74100633708646,91.78129165996083,Mizoram,Aizawl,Earth Slide,Rainfall,2018-03-22,448,15
LS2083,22.535376501503958,91.16582922404642,Mizoram,Lunglei,Rock Fall,Road Cutting,2024-01-14,392,12
LS2084,23.816529807728617,91.92252378441972,Assam,Karbi Anglong,Rock Slide,Road Cutting,2021-10-08,352,11
LS2085,27.54303397837535,96.27587458602079,Mizoram,Aizawl,Earth Slide,Earthquake,2018-04-21,474,7
LS2086,27.507868288456663,88.04525617013977,Sikkim,East Sikkim,Rock Fall,Anthropogenic,2020-05-16,242,6
LS2087,24.169539693832835,96.56083707874505,Manipur,Ukhrul,Rock Fall,Anthropogenic,2018-12-02,250,1
LS2088,28.053014163054005,88.03623232378669,Sikkim,North Sikkim,Rock Slide,Heavy Rainfall,2020-03-27,439,1
LS2089,23.257325849245237,94.0251296015792,Arunachal Pradesh,West Kameng,Earth Slide,Heavy Rainfall,2023-03-20,368,5
LS2090,26.13535615536187,96.67361269691088,Manipur,Imphal West,Debris Slide,Rainfall,2019-11-02,169,2
LS2091,27.412837655367852,88.84732353868718,Sikkim,North Sikkim,Debris Flow,Rainfall,2024-08-22,363,14
LS2092,26.683158014974634,90.714244169389,Assam,Kamrup,Debris Slide,Earthquake,2019-05-11,417,10
LS2093,27.075852410171606,88.58278892865113,Sikkim,North Sikkim,Rock Slide,Road Cutting,2023-07-01,64,7
LS2094,27.84945008883062,92.13765412841572,Manipur,Chandel,Debris Flow,Road Cutting,2019-12-23,385,9
LS2095,27.349195312840536,92.8435561580343,Nagaland,Mokokchung,Rock Fall,Road Cutting,2022-11-20,432,12
LS2096,27.61027896011599,95.47657917001543,Nagaland,Dimapur,Rock Slide,Anthropogenic,2023-01-21,134,13
LS2097,24.518379719348253,92.4487585325433,Tripura,Dhalai,Mudslide,Heavy Rainfall,2023-06-21,118,6
LS2098,24.177950928225517,93.36539507143686,Nagaland,Dimapur,Mudslide,Earthquake,2018-02-11,274,4
LS2099,25.90979758417896,91.9740358770591,Meghalaya,West Khasi Hills,Debris Slide,Rainfall,2023-07-04,239,13
