date,state,district,lat,lon,rainfall_mm,rain_3day,rain_7day
2023-01-01,Sikkim,East Sikkim,27.33,88.61,23,23.0,23.0
2023-01-01,Meghalaya,East Khasi Hills,25.57,91.88,4,4.0,4.0
2023-01-02,Sikkim,East Sikkim,27.33,88.61,36,59.0,59.0
2023-01-02,Meghalaya,East Khasi Hills,25.57,91.88,7,11.0,11.0
2023-01-03,Sikkim,East Sikkim,27.33,88.61,3,62.0,62.0
2023-01-03,Meghalaya,East Khasi Hills,25.57,91.88,35,46.0,46.0
2023-01-04,Sikkim,East Sikkim,27.33,88.61,32,71.0,94.0
2023-01-04,Meghalaya,East Khasi Hills,25.57,91.88,12,54.0,58.0
2023-01-05,Sikkim,East Sikkim,27.33,88.61,36,71.0,130.0
2023-01-05,Meghalaya,East Khasi Hills,25.57,91.88,34,81.0,92.0
2023-01-06,Sikkim,East Sikkim,27.33,88.61,9,77.0,139.0
2023-01-06,Meghalaya,East Khasi Hills,25.57,91.88,10,56.0,102.0
2023-01-07,Sikkim,East Sikkim,27.33,88.61,20,65.0,159.0
2023-01-07,Meghalaya,East Khasi Hills,25.57,91.88,33,77.0,135.0
2023-01-08,Sikkim,East Sikkim,27.33,88.61,28,57.0,164.0
2023-01-08,Meghalaya,East Khasi Hills,25.57,91.88,7,50.0,138.0
2023-01-09,Sikkim,East Sikkim,27.33,88.61,13,61.0,141.0
2023-01-09,Meghalaya,East Khasi Hills,25.57,91.88,37,77.0,168.0
2023-01-10,Sikkim,East Sikkim,27.33,88.61,31,72.0,169.0
2023-01-10,Meghalaya,East Khasi Hills,25.57,91.88,5,49.0,138.0
2023-01-11,Sikkim,East Sikkim,27.33,88.61,32,76.0,169.0
2023-01-11,Meghalaya,East Khasi Hills,25.57,91.88,28,70.0,154.0
2023-01-12,Sikkim,East Sikkim,27.33,88.61,3,66.0,136.0
2023-01-12,Meghalaya,East Khasi Hills,25.57,91.88,29,62.0,149.0
2023-01-13,Sikkim,East Sikkim,27.33,88.61,8,43.0,135.0
2023-01-13,Meghalaya,East Khasi Hills,25.57,91.88,32,89.0,171.0
2023-01-14,Sikkim,East Sikkim,27.33,88.61,26,37.0,141.0
2023-01-14,Meghalaya,East Khasi Hills,25.57,91.88,29,90.0,167.0
2023-01-15,Sikkim,East Sikkim,27.33,88.61,36,70.0,149.0
2023-01-15,Meghalaya,East Khasi Hills,25.57,91.88,3,64.0,163.0
2023-01-16,Sikkim,East Sikkim,27.33,88.61,35,97.0,171.0
2023-01-16,Meghalaya,East Khasi Hills,25.57,91.88,29,61.0,155.0
2023-01-17,Sikkim,East Sikkim,27.33,88.61,19,90.0,159.0
2023-01-17,Meghalaya,East Khasi Hills,25.57,91.88,1,33.0,151.0
2023-01-18,Sikkim,East Sikkim,27.33,88.61,25,79.0,152.0
2023-01-18,Meghalaya,East Khasi Hills,25.57,91.88,16,46.0,139.0
2023-01-19,Sikkim,East Sikkim,27.33,88.61,0,44.0,149.0
2023-01-19,Meghalaya,East Khasi Hills,25.57,91.88,13,30.0,123.0
2023-01-20,Sikkim,East Sikkim,27.33,88.61,37,62.0,178.0
2023-01-20,Meghalaya,East Khasi Hills,25.57,91.88,4,33.0,95.0
2023-01-21,Sikkim,East Sikkim,27.33,88.61,2,39.0,154.0
2023-01-21,Meghalaya,East Khasi Hills,25.57,91.88,27,44.0,93.0
2023-01-22,Sikkim,East Sikkim,27.33,88.61,22,61.0,140.0
2023-01-22,Meghalaya,East Khasi Hills,25.57,91.88,4,35.0,94.0
2023-01-23,Sikkim,East Sikkim,27.33,88.61,34,58.0,139.0
2023-01-23,Meghalaya,East Khasi Hills,25.57,91.88,3,34.0,68.0
2023-01-24,Sikkim,East Sikkim,27.33,88.61,4,60.0,124.0
2023-01-24,Meghalaya,East Khasi Hills,25.57,91.88,30,37.0,97.0
2023-01-25,Sikkim,East Sikkim,27.33,88.61,2,40.0,101.0
2023-01-25,Meghalaya,East Khasi Hills,25.57,91.88,18,51.0,99.0
2023-01-26,Sikkim,East Sikkim,27.33,88.61,26,32.0,127.0
2023-01-26,Meghalaya,East Khasi Hills,25.57,91.88,11,59.0,97.0
2023-01-27,Sikkim,East Sikkim,27.33,88.61,8,36.0,98.0
2023-01-27,Meghalaya,East Khasi Hills,25.57,91.88,26,55.0,119.0
2023-01-28,Sikkim,East Sikkim,27.33,88.61,23,57.0,119.0
2023-01-28,Meghalaya,East Khasi Hills,25.57,91.88,24,61.0,116.0
2023-01-29,Sikkim,East Sikkim,27.33,88.61,28,59.0,125.0
2023-01-29,Meghalaya,East Khasi Hills,25.57,91.88,24,74.0,136.0
2023-01-30,Sikkim,East Sikkim,27.33,88.61,24,75.0,115.0
2023-01-30,Meghalaya,East Khasi Hills,25.57,91.88,5,53.0,138.0
2023-01-31,Sikkim,East Sikkim,27.33,88.61,34,86.0,145.0
2023-01-31,Meghalaya,East Khasi Hills,25.57,91.88,8,37.0,116.0
2023-02-01,Sikkim,East Sikkim,27.33,88.61,22,80.0,165.0
2023-02-01,Meghalaya,East Khasi Hills,25.57,91.88,7,20.0,105.0
2023-02-02,Sikkim,East Sikkim,27.33,88.61,11,67.0,150.0
2023-02-02,Meghalaya,East Khasi Hills,25.57,91.88,34,49.0,128.0
2023-02-03,Sikkim,East Sikkim,27.33,88.61,25,58.0,167.0
2023-02-03,Meghalaya,East Khasi Hills,25.57,91.88,33,74.0,135.0
2023-02-04,Sikkim,East Sikkim,27.33,88.61,8,44.0,152.0
2023-02-04,Meghalaya,East Khasi Hills,25.57,91.88,14,81.0,125.0
2023-02-05,Sikkim,East Sikkim,27.33,88.61,0,33.0,124.0
2023-02-05,Meghalaya,East Khasi Hills,25.57,91.88,1,48.0,102.0
2023-02-06,Sikkim,East Sikkim,27.33,88.61,19,27.0,119.0
2023-02-06,Meghalaya,East Khasi Hills,25.57,91.88,29,44.0,126.0
2023-02-07,Sikkim,East Sikkim,27.33,88.61,34,53.0,119.0
2023-02-07,Meghalaya,East Khasi Hills,25.57,91.88,27,57.0,145.0
2023-02-08,Sikkim,East Sikkim,27.33,88.61,34,87.0,131.0
2023-02-08,Meghalaya,East Khasi Hills,25.57,91.88,24,80.0,162.0
2023-02-09,Sikkim,East Sikkim,27.33,88.61,14,82.0,134.0
2023-02-09,Meghalaya,East Khasi Hills,25.57,91.88,15,66.0,143.0
2023-02-10,Sikkim,East Sikkim,27.33,88.61,29,77.0,138.0
2023-02-10,Meghalaya,East Khasi Hills,25.57,91.88,22,61.0,132.0
2023-02-11,Sikkim,East Sikkim,27.33,88.61,9,52.0,139.0
2023-02-11,Meghalaya,East Khasi Hills,25.57,91.88,17,54.0,135.0
2023-02-12,Sikkim,East Sikkim,27.33,88.61,12,50.0,151.0
2023-02-12,Meghalaya,East Khasi Hills,25.57,91.88,7,46.0,141.0
2023-02-13,Sikkim,East Sikkim,27.33,88.61,2,23.0,134.0
2023-02-13,Meghalaya,East Khasi Hills,25.57,91.88,26,50.0,138.0
2023-02-14,Sikkim,East Sikkim,27.33,88.61,39,53.0,139.0
2023-02-14,Meghalaya,East Khasi Hills,25.57,91.88,1,34.0,112.0
2023-02-15,Sikkim,East Sikkim,27.33,88.61,15,56.0,120.0
2023-02-15,Meghalaya,East Khasi Hills,25.57,91.88,13,40.0,101.0
2023-02-16,Sikkim,East Sikkim,27.33,88.61,4,58.0,110.0
2023-02-16,Meghalaya,East Khasi Hills,25.57,91.88,6,20.0,92.0
2023-02-17,Sikkim,East Sikkim,27.33,88.61,38,57.0,119.0
2023-02-17,Meghalaya,East Khasi Hills,25.57,91.88,2,21.0,72.0
2023-02-18,Sikkim,East Sikkim,27.33,88.61,28,70.0,138.0
2023-02-18,Meghalaya,East Khasi Hills,25.57,91.88,38,46.0,93.0
2023-02-19,Sikkim,East Sikkim,27.33,88.61,3,69.0,129.0
2023-02-19,Meghalaya,East Khasi Hills,25.57,91.88,15,55.0,101.0
2023-02-20,Sikkim,East Sikkim,27.33,88.61,2,33.0,129.0
2023-02-20,Meghalaya,East Khasi Hills,25.57,91.88,25,78.0,100.0
2023-02-21,Sikkim,East Sikkim,27.33,88.61,28,33.0,118.0
2023-02-21,Meghalaya,East Khasi Hills,25.57,91.88,14,54.0,113.0
2023-02-22,Sikkim,East Sikkim,27.33,88.61,34,64.0,137.0
2023-02-22,Meghalaya,East Khasi Hills,25.57,91.88,13,52.0,113.0
2023-02-23,Sikkim,East Sikkim,27.33,88.61,3,65.0,136.0
2023-02-23,Meghalaya,East Khasi Hills,25.57,91.88,8,35.0,115.0
2023-02-24,Sikkim,East Sikkim,27.33,88.61,32,69.0,130.0
2023-02-24,Meghalaya,East Khasi Hills,25.57,91.88,18,39.0,131.0
2023-02-25,Sikkim,East Sikkim,27.33,88.61,14,49.0,116.0
2023-02-25,Meghalaya,East Khasi Hills,25.57,91.88,36,62.0,129.0
2023-02-26,Sikkim,East Sikkim,27.33,88.61,20,66.0,133.0
2023-02-26,Meghalaya,East Khasi Hills,25.57,91.88,36,90.0,150.0
2023-02-27,Sikkim,East Sikkim,27.33,88.61,38,72.0,169.0
2023-02-27,Meghalaya,East Khasi Hills,25.57,91.88,20,92.0,145.0
2023-02-28,Sikkim,East Sikkim,27.33,88.61,15,73.0,156.0
2023-02-28,Meghalaya,East Khasi Hills,25.57,91.88,19,75.0,150.0
2023-03-01,Sikkim,East Sikkim,27.33,88.61,9,62.0,131.0
2023-03-01,Meghalaya,East Khasi Hills,25.57,91.88,33,72.0,170.0
2023-03-02,Sikkim,East Sikkim,27.33,88.61,14,38.0,142.0
2023-03-02,Meghalaya,East Khasi Hills,25.57,91.88,26,78.0,188.0
2023-03-03,Sikkim,East Sikkim,27.33,88.61,19,42.0,129.0
2023-03-03,Meghalaya,East Khasi Hills,25.57,91.88,17,76.0,187.0
2023-03-04,Sikkim,East Sikkim,27.33,88.61,3,36.0,118.0
2023-03-04,Meghalaya,East Khasi Hills,25.57,91.88,35,78.0,186.0
2023-03-05,Sikkim,East Sikkim,27.33,88.61,37,59.0,135.0
2023-03-05,Meghalaya,East Khasi Hills,25.57,91.88,11,63.0,161.0
2023-03-06,Sikkim,East Sikkim,27.33,88.61,40,80.0,137.0
2023-03-06,Meghalaya,East Khasi Hills,25.57,91.88,27,73.0,168.0
2023-03-07,Sikkim,East Sikkim,27.33,88.61,35,112.0,157.0
2023-03-07,Meghalaya,East Khasi Hills,25.57,91.88,31,69.0,180.0
2023-03-08,Sikkim,East Sikkim,27.33,88.61,3,78.0,151.0
2023-03-08,Meghalaya,East Khasi Hills,25.57,91.88,22,80.0,169.0
2023-03-09,Sikkim,East Sikkim,27.33,88.61,24,62.0,161.0
2023-03-09,Meghalaya,East Khasi Hills,25.57,91.88,33,86.0,176.0
2023-03-10,Sikkim,East Sikkim,27.33,88.61,20,47.0,162.0
2023-03-10,Meghalaya,East Khasi Hills,25.57,91.88,26,81.0,185.0
2023-03-11,Sikkim,East Sikkim,27.33,88.61,26,70.0,185.0
2023-03-11,Meghalaya,East Khasi Hills,25.57,91.88,9,68.0,159.0
2023-03-12,Sikkim,East Sikkim,27.33,88.61,19,65.0,167.0
2023-03-12,Meghalaya,East Khasi Hills,25.57,91.88,24,59.0,172.0
2023-03-13,Sikkim,East Sikkim,27.33,88.61,11,56.0,138.0
2023-03-13,Meghalaya,East Khasi Hills,25.57,91.88,34,67.0,179.0
2023-03-14,Sikkim,East Sikkim,27.33,88.61,30,60.0,133.0
2023-03-14,Meghalaya,East Khasi Hills,25.57,91.88,15,73.0,163.0
2023-03-15,Sikkim,East Sikkim,27.33,88.61,14,55.0,144.0
2023-03-15,Meghalaya,East Khasi Hills,25.57,91.88,19,68.0,160.0
2023-03-16,Sikkim,East Sikkim,27.33,88.61,9,53.0,129.0
2023-03-16,Meghalaya,East Khasi Hills,25.57,91.88,29,63.0,156.0
