lat,lon,state,district,elevation_m,slope_deg,aspect_deg,ndvi,soil_moisture,dist_to_road_m
26.13535615536187,96.67361269691088,Manipur,Imphal West,2511,23,197,0.58,0.48,873
23.991938003521714,89.71188017596731,Manipur,Imphal West,2614,35,85,0.18,0.66,130
25.12869657043427,94.28425026209955,Arunachal Pradesh,Papum Pare,2529,45,81,0.17,0.83,998
27.022539910688742,96.58631340389421,Assam,Karbi Anglong,1965,40,347,0.41,0.59,1605
25.608793235895742,92.480163525514,Meghalaya,Ri-Bhoi,2052,26,14,0.7,0.8,1499
23.0537908062764,91.81218195307353,Nagaland,Kohima,1067,43,247,0.74,0.19,852
22.772504175626565,91.55737056478866,Tripura,Dhalai,894,29,32,0.28,0.35,1452
26.643001565511153,91.69339668390434,Arunachal Pradesh,Lower Subansiri,2188,42,268,0.64,0.56,1167
27.656053105009597,91.42008457770389,Manipur,Chandel,2757,22,342,0.71,0.52,1419
27.732594684721988,93.66334432542193,Nagaland,Mokokchung,2066,37,48,0.4,0.68,996
26.483123017829993,93.57334724826138,Nagaland,Mokokchung,2159,26,346,0.55,0.22,1702
25.183366319892578,91.16371989108018,Meghalaya,West Khasi Hills,2626,32,313,0.14,0.61,331
27.017866454219842,88.70966801465157,Sikkim,South Sikkim,2538,31,240,0.7,0.8,163
22.646552326360958,90.20358289670516,Assam,Dibrugarh,1806,39,164,0.27,0.88,113
27.349195312840536,92.8435561580343,Nagaland,Mokokchung,1256,31,281,0.55,0.42,491
25.787623278814188,88.00365345727559,Nagaland,Dimapur,1740,17,227,0.66,0.46,1764
23.188657814766273,90.02328505239421,Assam,Karbi Anglong,1715,30,161,0.18,0.5,1348
25.094376504979433,92.2798915075322,Meghalaya,West Khasi Hills,1010,15,206,0.39,0.55,10
26.961932652957508,92.27206993140749,Tripura,West Tripura,986,41,309,0.77,0.61,1832
25.034736699277083,91.3514369335282,Meghalaya,Jaintia Hills,1951,31,105,0.56,0.46,708
22.77182011480245,89.23332736210769,Mizoram,Aizawl,2490,26,27,0.67,0.78,689
27.807778642308044,96.37424734413648,Assam,Karbi Anglong,2371,32,317,0.52,0.67,754
22.841277478372106,92.57045647294076,Tripura,West Tripura,1726,37,58,0.17,0.63,14
26.582051519516387,93.362330189781,Assam,Dibrugarh,1527,25,324,0.78,0.33,1079
23.469491857643316,91.97651960674766,Arunachal Pradesh,Papum Pare,2237,26,54,0.13,0.23,297
27.13890744225425,88.78161507753666,Sikkim,East Sikkim,2268,41,209,0.17,0.59,394
27.9148320822973,88.27676271286239,Sikkim,East Sikkim,2705,18,201,0.25,0.76,400
27.95776687391596,90.94047213142609,Arunachal Pradesh,Tawang,1492,37,55,0.63,0.14,1306
27.60635843146798,92.21218692105661,Tripura,West Tripura,2176,41,301,0.19,0.81,946
25.15071610102772,94.0806450987109,Manipur,Ukhrul,2006,36,258,0.19,0.5,1096
22.535376501503958,91.16582922404642,Mizoram,Lunglei,899,38,283,0.75,0.77,999
23.16514737174009,96.14632197095798,Tripura,West Tripura,1841,44,90,0.58,0.24,1679
22.609383226749195,90.77979463057493,Mizoram,Lunglei,1012,19,198,0.56,0.58,669
25.699011479787753,91.05175943546472,Meghalaya,West Khasi Hills,2605,31,196,0.39,0.59,1428
27.920422224437807,93.8170654800147,Arunachal Pradesh,Tawang,1308,39,140,0.38,0.37,612
24.721085802701296,89.88556327694339,Manipur,Imphal West,2448,29,68,0.2,0.58,1825
24.029338778896676,96.58233265857213,Manipur,Chandel,1849,38,153,0.69,0.54,652
24.17403837553054,90.68649245071265,Assam,Dibrugarh,2309,37,283,0.54,0.26,1288
27.836919102073686,94.6897693496766,Manipur,Ukhrul,1395,37,351,0.34,0.64,1464
26.165726997978084,93.7485321467622,Assam,Dibrugarh,2797,35,91,0.45,0.66,670
26.81158904073532,88.12675776056618,Tripura,Dhalai,1036,37,180,0.49,0.57,1940
28.196284610471434,94.2683559247387,Manipur,Chandel,2254,36,213,0.57,0.82,1103
23.116827166666578,90.30371399801557,Arunachal Pradesh,West Kameng,2597,24,216,0.67,0.52,61
24.478144530706373,93.02166891176562,Manipur,Imphal West,1097,27,27,0.57,0.26,1546
26.37538750734162,96.17143262862061,Manipur,Ukhrul,1129,40,146,0.58,0.22,137
27.154161238189303,91.42340223531895,Mizoram,Aizawl,2406,37,151,0.24,0.53,744
24.545375890615997,91.33047783229304,Mizoram,Lunglei,1726,41,52,0.53,0.64,1160
24.177950928225517,93.36539507143686,Nagaland,Dimapur,1259,42,331,0.49,0.29,1616
24.78124467429142,94.33304137044396,Arunachal Pradesh,West Kameng,2435,40,356,0.3,0.63,1907
25.517440148925473,91.76794744056771,Nagaland,Dimapur,1593,27,213,0.77,0.88,650
23.917815464531973,94.01007503318804,Manipur,Chandel,1930,45,27,0.11,0.3,1280
25.655706520845367,92.11235267026818,Tripura,West Tripura,2399,42,226,0.68,0.83,1453
26.43263199176928,91.56068710954598,Manipur,Imphal West,2126,37,188,0.63,0.54,1245
27.410264760783374,96.59147977052315,Mizoram,Lunglei,2389,21,99,0.31,0.24,1408
26.429531384960782,95.5032377496669,Arunachal Pradesh,Lower Subansiri,1182,17,88,0.61,0.2,93
27.138516273838846,88.50812017831717,Sikkim,East Sikkim,1371,28,284,0.28,0.23,1742
23.82820320044394,88.56895337044176,Manipur,Chandel,811,23,169,0.43,0.85,91
25.257484510508462,91.8401912106982,Meghalaya,Ri-Bhoi,2701,19,165,0.52,0.72,1290
25.3941718651043,91.01724939897059,Meghalaya,Ri-Bhoi,2526,34,338,0.31,0.73,1136
23.127599307495345,89.44742367392952,Manipur,Chandel,949,26,162,0.47,0.87,1076
25.060726350160348,92.40715431759547,Meghalaya,Ri-Bhoi,2410,17,258,0.21,0.53,836
22.741390038867696,94.80641947371302,Nagaland,Mokokchung,1515,17,113,0.72,0.63,688
26.638588850672917,91.16392285394792,Mizoram,Aizawl,1401,26,111,0.77,0.59,982
22.641986608208708,89.73816809494937,Assam,Dibrugarh,2486,32,332,0.11,0.64,922
23.86489898089533,89.61497389316862,Assam,Cachar,2652,22,328,0.53,0.6,1973
24.427268569287563,88.72062019967495,Arunachal Pradesh,Papum Pare,2197,16,164,0.37,0.74,242
27.397957295066842,88.68079883865002,Sikkim,South Sikkim,1325,27,276,0.61,0.12,1068
27.84945008883062,92.13765412841572,Manipur,Chandel,2377,41,191,0.46,0.51,1006
28.41079528038116,95.12859106250026,Assam,Kamrup,1407,16,333,0.23,0.51,1951
25.68699790889256,93.09335255724343,Arunachal Pradesh,West Kameng,1142,18,275,0.47,0.6,441
28.380163675165676,96.53113940742777,Nagaland,Mokokchung,2089,36,109,0.71,0.44,222
28.312256189814953,93.21262261734631,Nagaland,Kohima,1901,21,359,0.72,0.69,901
22.940944294598705,88.72711429669712,Tripura,Dhalai,2472,35,36,0.62,0.22,950
27.662220601954978,88.50512055664475,Sikkim,East Sikkim,1479,37,19,0.16,0.14,1636
25.56289970725289,89.02623975854698,Arunachal Pradesh,Tawang,1942,23,36,0.5,0.28,539
23.121519011509267,95.90314268476233,Nagaland,Mokokchung,1594,28,230,0.54,0.45,44
23.257325849245237,94.0251296015792,Arunachal Pradesh,West Kameng,2178,27,60,0.47,0.61,1276
28.28894663022546,89.1362164282845,Arunachal Pradesh,Lower Subansiri,2348,17,299,0.13,0.78,742
23.816529807728617,91.92252378441972,Assam,Karbi Anglong,1829,44,54,0.3,0.65,1252
25.935421628424756,94.30468820027306,Assam,Kamrup,1376,17,224,0.37,0.76,73
25.316943605908392,96.72283267516795,Arunachal Pradesh,Tawang,1120,30,273,0.25,0.7,1641
26.170066594355703,96.88509757268353,Tripura,Dhalai,2539,40,279,0.31,0.61,620
24.808603870047,93.36299585525015,Mizoram,Aizawl,2616,36,331,0.36,0.86,1143
23.204494475068657,96.24517347265572,Nagaland,Mokokchung,1936,42,72,0.19,0.1,1231
25.24071883639388,89.30177771637048,Tripura,West Tripura,1900,27,280,0.76,0.34,1542
27.113072983838965,88.7021046176843,Sikkim,North Sikkim,2650,38,176,0.25,0.82,1753
27.32197035773152,92.96482240533784,Manipur,Ukhrul,1091,31,82,0.23,0.59,527
24.966613656298428,95.77453073532644,Manipur,Ukhrul,1034,21,92,0.57,0.55,121
28.10250921149643,94.4901558593991,Arunachal Pradesh,Papum Pare,2338,42,281,0.42,0.54,605
26.53014133775983,90.69997371818886,Mizoram,Aizawl,937,36,128,0.17,0.68,1007
25.14955037879724,92.33007961966506,Meghalaya,Ri-Bhoi,1477,45,182,0.19,0.62,214
25.228955451610375,90.83065441453151,Mizoram,Aizawl,2068,24,35,0.73,0.35,932
26.683158014974634,90.714244169389,Assam,Kamrup,2062,25,337,0.31,0.57,1168
25.983538402432245,96.85195515594779,Nagaland,Kohima,1546,33,161,0.77,0.23,651
25.517182718696247,95.8139046467745,Arunachal Pradesh,Lower Subansiri,2409,22,113,0.6,0.61,576
25.466263014062623,90.19585995620595,Assam,Karbi Anglong,1536,41,68,0.58,0.37,992
24.27523434129471,94.2935117159566,Manipur,Chandel,1712,29,183,0.64,0.49,232
25.953876674057135,91.37644500991937,Meghalaya,West Khasi Hills,2122,20,310,0.16,0.32,1702
25.55674368221562,91.75835032158935,Meghalaya,West Khasi Hills,2625,19,275,0.24,0.69,1293
28.053014163054005,88.03623232378669,Sikkim,North Sikkim,2289,17,38,0.72,0.78,1303
27.657640388043134,88.64061784138131,Nagaland,Mokokchung,2464,15,297,0.51,0.72,445
27.356582740066962,88.05848883710254,Tripura,Dhalai,875,44,282,0.28,0.82,1115
22.59468650106696,90.38830757492477,Assam,Cachar,2139,30,76,0.36,0.28,1591
27.291082941345742,88.98933713100492,Arunachal Pradesh,Papum Pare,2301,33,148,0.19,0.5,195
22.761883794583813,94.70234636408676,Assam,Karbi Anglong,1545,27,257,0.11,0.29,1984
24.247631926651547,88.0140790234006,Assam,Dibrugarh,2057,40,350,0.22,0.51,923
24.61086316568501,92.0837073656786,Mizoram,Lunglei,1166,20,289,0.76,0.63,1991
26.347074217226684,95.86705250547013,Nagaland,Kohima,2307,19,247,0.76,0.13,1569
25.2669204610548,92.18819722951478,Meghalaya,Jaintia Hills,1274,30,32,0.29,0.29,1379
23.005974792147384,93.81514382029347,Manipur,Chandel,1860,21,184,0.37,0.83,1815
27.078700981750146,90.45512169632221,Nagaland,Kohima,881,16,332,0.33,0.66,1077
23.26372679435492,91.78401700395618,Nagaland,Mokokchung,2499,35,140,0.68,0.31,1124
28.027314871636023,88.0327058642913,Sikkim,West Sikkim,1156,33,192,0.56,0.39,1348
24.169539693832835,96.56083707874505,Manipur,Ukhrul,2511,43,39,0.46,0.4,1868
27.267635680264434,88.59756401943714,Sikkim,East Sikkim,1857,22,207,0.35,0.79,1007
23.356676810175298,93.4681561298877,Arunachal Pradesh,Tawang,1787,40,309,0.1,0.81,910
25.37882053921237,93.04438831212597,Tripura,Dhalai,1271,20,39,0.46,0.32,317
25.835094131689885,91.58973480377622,Meghalaya,Jaintia Hills,1122,20,185,0.52,0.75,1363
27.63190632609088,95.79835300079742,Nagaland,Kohima,1649,22,169,0.6,0.49,990
27.85331507756372,88.20710655187338,Sikkim,South Sikkim,1231,30,302,0.21,0.77,55
25.900341100301773,92.27575665307741,Meghalaya,Jaintia Hills,888,22,65,0.5,0.23,1299
27.74691572442348,88.6784639953686,Tripura,West Tripura,880,31,293,0.2,0.23,1899
22.96299050580526,95.59985549817296,Arunachal Pradesh,West Kameng,1858,20,207,0.52,0.55,48
24.625721931868878,94.94790805733867,Manipur,Chandel,2273,43,338,0.67,0.86,453
27.608172304518753,94.40628193606491,Nagaland,Dimapur,2042,29,241,0.71,0.24,1710
26.360044105232934,88.28035575559309,Nagaland,Dimapur,2030,28,73,0.66,0.76,382
28.357236197585777,95.29694547946357,Assam,Dibrugarh,2150,34,261,0.29,0.68,711
25.981976444467143,96.58808329050511,Mizoram,Lunglei,1728,44,305,0.51,0.28,799
25.556434053168225,94.11566306524237,Manipur,Chandel,1022,19,8,0.24,0.79,1042
24.190537628747364,89.89566689326249,Arunachal Pradesh,Papum Pare,1659,36,76,0.52,0.24,1856
25.229872036624023,96.89954165705778,Tripura,West Tripura,2028,34,19,0.71,0.53,1550
24.518379719348253,92.4487585325433,Tripura,Dhalai,990,18,246,0.56,0.82,1114
27.634448354625118,88.58601697973704,Sikkim,East Sikkim,802,41,347,0.55,0.52,768
27.075064800450907,92.85441127107663,Arunachal Pradesh,Papum Pare,888,42,357,0.47,0.28,1653
28.26312031358996,88.2332200677773,Nagaland,Kohima,2417,30,195,0.35,0.74,1869
27.244091811533625,88.12526789590811,Manipur,Imphal West,2514,39,356,0.5,0.44,531
27.232127714835933,88.59438532347284,Sikkim,East Sikkim,2368,30,119,0.74,0.17,1235
26.25013416869154,93.52985450477378,Nagaland,Kohima,1913,43,209,0.28,0.1,1532
24.157484416932245,95.11005563802802,Arunachal Pradesh,Tawang,814,40,295,0.47,0.52,778
27.20771654574452,95.2674729798998,Tripura,West Tripura,1220,35,352,0.66,0.43,228
22.989011924687304,93.97250895405453,Arunachal Pradesh,Papum Pare,1672,19,333,0.51,0.31,1107
23.874288431784628,88.28890219513634,Manipur,Imphal West,1956,28,187,0.53,0.89,823
26.417356786207797,95.92582711507079,Arunachal Pradesh,Lower Subansiri,1217,39,211,0.49,0.55,376
28.243278433240686,91.02935090601365,Arunachal Pradesh,West Kameng,1945,26,284,0.44,0.89,1193
25.712399221441633,91.56840921384487,Meghalaya,Jaintia Hills,2385,26,203,0.62,0.78,1360
27.22442531491974,88.54599423653858,Sikkim,West Sikkim,2331,18,117,0.41,0.66,341
22.5556030108806,93.11165681798046,Nagaland,Kohima,1239,18,260,0.38,0.37,1137
22.543145033910562,94.37056851893608,Assam,Dibrugarh,2227,34,350,0.59,0.23,1985
25.584936718851534,90.50629537568092,Manipur,Imphal West,810,35,46,0.68,0.48,1239
23.28459690931432,91.33486178245262,Manipur,Ukhrul,980,28,32,0.28,0.4,1257
